category,month,seasonal_index
brinquedos,7,0.8573097775209801
brinquedos,8,0.7132487840412391
brinquedos,9,1.480645504110525
brinquedos,10,1.6427253083105273
brinquedos,11,1.3918325779403327
brinquedos,12,1.7248812384000307
cama_mesa_banho,1,0.8440154018714985
cama_mesa_banho,2,0.9531991604701174
cama_mesa_banho,3,1.0347338004917752
cama_mesa_banho,4,1.0248718085308448
cama_mesa_banho,5,0.9839833353565091
cama_mesa_banho,6,1.159901413176593
cama_mesa_banho,7,1.1634025528153793
cama_mesa_banho,8,1.0437428559148165
cama_mesa_banho,9,1.1928601705824655
cama_mesa_banho,10,0.6248048057568979
cama_mesa_banho,11,1.2062795638185217
cama_mesa_banho,12,0.9355499968301481
casa_conforto,1,0.527708485237532
casa_conforto,2,0.5440597998357253
casa_conforto,3,0.8271992072363465
casa_conforto,4,1.004518600184534
casa_conforto,5,1.3688884238999903
casa_conforto,6,0.9384438868152005
casa_conforto,7,1.4454822807825944
casa_conforto,8,0.9147013182862305
casa_conforto,9,1.4030665446820427
casa_conforto,10,1.3032424144233596
casa_conforto,11,1.0866148751519036
casa_conforto,12,0.5927806464239168
casa_construcao,1,0.9403677262983191
casa_construcao,2,0.7894563045960863
casa_construcao,3,0.7692799828800033
casa_construcao,4,1.2851434986730625
casa_construcao,5,1.1917393191383827
casa_construcao,6,1.2922974517259567
casa_construcao,7,1.093549310017081
casa_construcao,8,0.8174681736789831
casa_construcao,9,0.514335332605508
casa_construcao,10,0.7431540043644772
casa_construcao,11,1.073930701860908
casa_construcao,12,1.2503441534516742
consoles_games,1,1.3335917783277424
consoles_games,2,0.7071308004521739
consoles_games,3,1.0033677654583433
consoles_games,4,0.48426493785447644
consoles_games,5,0.5082235958977614
consoles_games,6,0.5910145679275298
consoles_games,7,0.7619445590766252
consoles_games,8,1.118470754161746
consoles_games,9,1.1292350794107637
consoles_games,10,2.143453698039916
consoles_games,11,1.3388031183543712
consoles_games,12,1.2290368878422353
construcao_ferramentas_construcao,1,0.5444960272037196
construcao_ferramentas_construcao,2,0.7836818273208239
construcao_ferramentas_construcao,3,0.68863797295201
construcao_ferramentas_construcao,4,1.7533186888389842
construcao_ferramentas_construcao,5,1.0489305640252138
construcao_ferramentas_construcao,6,1.4757928914976954
construcao_ferramentas_construcao,7,1.3375549676805087
construcao_ferramentas_construcao,8,1.648980184890252
construcao_ferramentas_construcao,9,0.3016116151285589
construcao_ferramentas_construcao,10,0.4902674354713949
construcao_ferramentas_construcao,11,0.7728924135628961
construcao_ferramentas_construcao,12,0.6257609758577182
cool_stuff,1,1.02406826212779
cool_stuff,2,0.8525085010153848
cool_stuff,3,1.0117720605040859
cool_stuff,4,0.9860867350350111
cool_stuff,5,1.1276408720742093
cool_stuff,6,0.9837462073225617
cool_stuff,7,0.9499036984892707
cool_stuff,8,0.9411397777264282
cool_stuff,9,1.1780973588715007
cool_stuff,10,1.0123459646294988
cool_stuff,11,0.9823482506727901
cool_stuff,12,1.0611302326072263
eletrodomesticos,1,0.5022097863687848
eletrodomesticos,2,0.752710507393751
eletrodomesticos,3,0.8827355090179635
eletrodomesticos,4,1.27923056308115
eletrodomesticos,5,1.130984098027959
eletrodomesticos,6,1.6069871991658211
eletrodomesticos,7,1.4715938834961833
eletrodomesticos,8,1.4324759916819945
eletrodomesticos,9,0.31650864234622833
eletrodomesticos,10,0.23519197363836197
eletrodomesticos,11,0.4505925947775623
eletrodomesticos,12,0.3820614991394159
eletronicos,1,1.3370454414975006
eletronicos,2,1.2081075120748173
eletronicos,3,1.0488735019775282
eletronicos,4,1.1047776820295514
eletronicos,5,1.130124372124881
eletronicos,6,0.921725360119227
eletronicos,7,1.0170791664960372
eletronicos,8,0.6766690700981787
eletronicos,9,0.6997831819705955
eletronicos,10,0.42830880920969916
eletronicos,11,1.0115621171793234
eletronicos,12,1.5432328695952375
eletroportateis,1,1.0540680650458842
eletroportateis,2,1.3459893871685185
eletroportateis,3,1.182237147822138
eletroportateis,4,1.2515006069846535
eletroportateis,5,0.7059450993751195
eletroportateis,6,1.017448602809694
eletroportateis,7,1.0004305258549464
eletroportateis,8,0.8064743053875334
eletroportateis,9,1.07377925523952
eletroportateis,10,0.9350465288381028
eletroportateis,11,0.5541425480617419
eletroportateis,12,0.7088441869636599
esporte_lazer,1,1.0273903374502393
esporte_lazer,2,1.0797853490796148
esporte_lazer,3,1.015236627783167
esporte_lazer,4,1.0259638658013222
esporte_lazer,5,0.8822502076089007
esporte_lazer,6,0.8928797362120544
esporte_lazer,7,0.9675256146349154
esporte_lazer,8,1.0026521788958183
esporte_lazer,9,1.2572516313473814
esporte_lazer,10,0.9940309378123938
esporte_lazer,11,0.9615129251932782
esporte_lazer,12,1.0058057329024874
fashion_bolsas_e_acessorios,1,0.41535772563652296
fashion_bolsas_e_acessorios,2,0.27209946471827595
fashion_bolsas_e_acessorios,3,0.31808824968667293
fashion_bolsas_e_acessorios,4,0.2529454587972957
fashion_bolsas_e_acessorios,5,0.31473757965501414
fashion_bolsas_e_acessorios,6,0.2860241055028214
fashion_bolsas_e_acessorios,7,0.25168695416505005
fashion_bolsas_e_acessorios,8,0.3044021919036136
fashion_bolsas_e_acessorios,9,0.3728251102630665
fashion_bolsas_e_acessorios,10,0.35915874746365783
fashion_bolsas_e_acessorios,11,0.3813275007414726
fashion_bolsas_e_acessorios,12,7.848423216968805
ferramentas_jardim,1,1.1015567075645019
ferramentas_jardim,2,0.9848672129686092
ferramentas_jardim,3,1.0261851187365738
ferramentas_jardim,4,1.0408781502349844
ferramentas_jardim,5,0.9291538104194292
ferramentas_jardim,6,0.7694491974409887
ferramentas_jardim,7,0.897657386220982
ferramentas_jardim,8,0.8949260050842074
ferramentas_jardim,9,1.1620186970138051
ferramentas_jardim,10,0.8724878953314823
ferramentas_jardim,11,1.600081437407528
ferramentas_jardim,12,1.2035768975751486
informatica_acessorios,1,0.8795892981183703
informatica_acessorios,2,1.3770073333331312
informatica_acessorios,3,1.143146859046371
informatica_acessorios,4,0.9345405439752219
informatica_acessorios,5,1.023195108137179
informatica_acessorios,6,0.9859765667503064
informatica_acessorios,7,1.0227373018306003
informatica_acessorios,8,1.0064944481443703
informatica_acessorios,9,0.7996197145981964
informatica_acessorios,10,0.9128708456752745
informatica_acessorios,11,0.9254495115797435
informatica_acessorios,12,0.7038141638004098
instrumentos_musicais,1,0.6972568004576678
instrumentos_musicais,2,0.8396179435337073
instrumentos_musicais,3,0.8938832827232401
instrumentos_musicais,4,1.2691374824312467
instrumentos_musicais,5,1.162121223689354
instrumentos_musicais,6,1.0852906579453379
instrumentos_musicais,7,1.048128832237634
instrumentos_musicais,8,0.9902401439367443
instrumentos_musicais,9,0.9628028434428421
instrumentos_musicais,10,0.8197770197024185
instrumentos_musicais,11,1.0051647902296732
instrumentos_musicais,12,1.2409026127152023
livros_interesse_geral,1,0.8164840087704123
livros_interesse_geral,2,0.9048045776251427
livros_interesse_geral,3,1.243984280446651
livros_interesse_geral,4,1.1344950717548392
livros_interesse_geral,5,1.2773774563086266
livros_interesse_geral,6,1.1702855772466165
livros_interesse_geral,7,0.7086725093210513
livros_interesse_geral,8,1.2001906345639028
livros_interesse_geral,9,0.7149114871575724
livros_interesse_geral,10,0.5053660961191387
livros_interesse_geral,11,1.0313428955430057
livros_interesse_geral,12,1.3304251929866575
malas_acessorios,1,0.9931201982296115
malas_acessorios,2,0.820487756909817
malas_acessorios,3,0.9203902986768613
malas_acessorios,4,1.2135443602790195
malas_acessorios,5,1.067483564936665
malas_acessorios,6,1.0931709647279524
malas_acessorios,7,1.1945581336520188
malas_acessorios,8,1.000320337057651
malas_acessorios,9,0.8682363794186758
malas_acessorios,10,1.0228322252862916
malas_acessorios,11,0.7838373381270601
malas_acessorios,12,0.7189428282287794
moveis_decoracao,1,1.3488220702411395
moveis_decoracao,2,1.0088743114310823
moveis_decoracao,3,0.9116256695177334
moveis_decoracao,4,0.7749604520001041
moveis_decoracao,5,0.7386314613267655
moveis_decoracao,6,0.6057738060408565
moveis_decoracao,7,0.6602198276271791
moveis_decoracao,8,0.7306732974687098
moveis_decoracao,9,2.26296600426416
moveis_decoracao,10,1.2354248615238632
moveis_decoracao,11,0.8248203503172068
moveis_decoracao,12,0.6192361267996066
moveis_escritorio,1,0.8229533277809744
moveis_escritorio,2,1.461557322404147
moveis_escritorio,3,1.5312021087153402
moveis_escritorio,4,1.1482789509268576
moveis_escritorio,5,0.8339302663253345
moveis_escritorio,6,0.8389349889218141
moveis_escritorio,7,1.2158779821010461
moveis_escritorio,8,0.5103552609766031
moveis_escritorio,9,0.6166200916957295
moveis_escritorio,10,1.222796751735926
moveis_escritorio,11,0.7212536235982783
moveis_escritorio,12,0.4903523649299058
moveis_sala,1,1.361260768353627
moveis_sala,2,1.1865278092833476
moveis_sala,3,0.9373662706411046
moveis_sala,4,0.8173417044306124
moveis_sala,5,1.0137808468134561
moveis_sala,6,0.820788427231334
moveis_sala,7,1.5250765629828422
moveis_sala,8,1.0809712960497602
moveis_sala,9,0.5352555285249281
moveis_sala,10,0.5875688524499783
moveis_sala,11,0.8035722724028114
moveis_sala,12,0.5873759750501151
papelaria,1,1.4403204559365905
papelaria,2,0.7674388254914164
papelaria,3,0.9744974569158298
papelaria,4,0.7988498708412307
papelaria,5,0.8210079043222964
papelaria,6,0.8242148962168201
papelaria,7,1.0637553216548512
papelaria,8,0.9952066414177012
papelaria,9,0.7908678520108419
papelaria,10,0.9415294360753995
papelaria,11,0.9641567140141211
papelaria,12,1.9328632523061637
perfumaria,1,0.9181912530820691
perfumaria,2,0.8013415562023906
perfumaria,3,0.8970874440311438
perfumaria,4,0.9050534953065248
perfumaria,5,0.8711653790080682
perfumaria,6,1.0089901083820898
perfumaria,7,0.8015676360485873
perfumaria,8,0.8240155288957738
perfumaria,9,0.9295162672028469
perfumaria,10,1.8907348723238901
perfumaria,11,1.088453725228838
perfumaria,12,1.1457354610072394
pet_shop,1,0.7869891934516078
pet_shop,2,1.004585503548092
pet_shop,3,0.8898439003640373
pet_shop,4,1.1976476215265255
pet_shop,5,1.0559995402720985
pet_shop,6,1.2425639658687806
pet_shop,7,1.165824852898492
pet_shop,8,1.257081995776196
pet_shop,9,0.8473944515628414
pet_shop,10,0.782818081123821
pet_shop,11,0.6537800755698854
pet_shop,12,0.73211616320797
relogios_presentes,1,0.6148181401544095
relogios_presentes,2,0.6867201869411999
relogios_presentes,3,0.8770293397615663
relogios_presentes,4,1.0702436381669256
relogios_presentes,5,1.228336929857939
relogios_presentes,6,1.1074030969298103
relogios_presentes,7,1.2241686703820012
relogios_presentes,8,1.0754518436586742
relogios_presentes,9,1.202740895771426
relogios_presentes,10,0.803729565802474
relogios_presentes,11,1.1706150875254857
relogios_presentes,12,1.2508411933930874
telefonia,1,0.6686945163409685
telefonia,2,0.9621562245692756
telefonia,3,0.9464635479876184
telefonia,4,0.8395404516105743
telefonia,5,0.8091138650168823
telefonia,6,0.7126156885905621
telefonia,7,0.6008892273090656
telefonia,8,0.614659404778719
telefonia,9,3.330942310672205
telefonia,10,0.7085984805728104
telefonia,11,0.8388460686251183
telefonia,12,0.773806496477519
utilidades_domesticas,1,0.625737792584059
utilidades_domesticas,2,0.786610541661654
utilidades_domesticas,3,1.0068577344554175
utilidades_domesticas,4,1.0591889633063019
utilidades_domesticas,5,1.260876226140223
utilidades_domesticas,6,1.4512694594138766
utilidades_domesticas,7,1.1537062041789592
utilidades_domesticas,8,1.2676608064572779
utilidades_domesticas,9,0.9272131089618068
utilidades_domesticas,10,0.6227233142110948
utilidades_domesticas,11,0.8287073920096987
utilidades_domesticas,12,0.7748174142107669
