category,ym,n,platform_n,share,month,seasonal_index,adj,roll_mean,roll_std,denom,z,shift,bad_rate
moveis_escritorio,2018-04,86,6934,0.012402653591000866,4,1.1482789509268576,0.01080108067903692,0.013112854893454488,0.0042249875371936215,0.0042249875371936215,-0.5471671085574671,,0.23255813953488372
moveis_escritorio,2018-05,83,6853,0.012111484021596381,5,0.8339302663253345,0.0145233774461322,0.012277623533572002,0.004283544527004683,0.004283544527004683,0.5242746744903258,,0.1686746987951807
moveis_escritorio,2018-06,60,6160,0.00974025974025974,6,0.8389349889218141,0.011610267623690088,0.011532632824419953,0.0031917347222079843,0.0031917347222079843,0.02432370044100286,,0.18333333333333332
moveis_escritorio,2018-07,64,6273,0.010202454965726127,7,1.2158779821010461,0.008391018766616869,0.012595398334629863,0.0016962863077382357,0.0016962863077382357,-2.4785789691475815,COLLAPSE,0.234375
moveis_escritorio,2018-08,24,6452,0.0037197768133911966,8,0.5103552609766031,0.007288602857298119,0.01133143612886902,0.0025293983173050273,0.0025293983173050273,-1.598337930373251,,0.125
moveis_quarto,2017-01,8,789,0.010139416983523447,1,1.0,0.010139416983523447,,0.0,,,,0.0
moveis_quarto,2017-02,1,1733,0.0005770340450086555,2,1.0,0.0005770340450086555,,0.0,,,,0.0
moveis_quarto,2017-04,4,2391,0.001672940192388122,4,1.0,0.001672940192388122,0.005358225514266051,0.006761625820126353,0.006761625820126353,-0.5450294677514501,,0.75
moveis_quarto,2017-05,6,3660,0.001639344262295082,5,1.0,0.001639344262295082,0.004129797073640075,0.00523324958003304,0.00523324958003304,-0.4758903188655622,,0.16666666666666666
moveis_quarto,2017-06,2,3217,0.0006216972334473111,6,1.0,0.0006216972334473111,0.0035071838708038267,0.0044506766803106895,0.0044506766803106895,-0.6483253771548033,,0.0
moveis_quarto,2017-07,5,3969,0.0012597631645250692,7,1.0,0.0012597631645250692,0.0011277539332847928,0.000610556713348626,0.000610556713348626,0.21621125172183575,,0.2
moveis_quarto,2017-08,3,4293,0.0006988120195667365,8,1.0,0.0006988120195667365,0.0012984362131638963,0.000488515704208876,0.000488515704208876,-1.227440977702483,,0.0
moveis_quarto,2017-09,3,4243,0.0007070469007777516,9,1.0,0.0007070469007777516,0.0010549041699585498,0.0004823578542248703,0.0004823578542248703,-0.7211601638368487,,0.0
moveis_quarto,2017-10,4,4568,0.0008756567425569177,10,1.0,0.0008756567425569177,0.0008218298295792171,0.0002944753324223765,0.0002944753324223765,0.18278920864072484,,0.0
moveis_quarto,2017-11,3,7451,0.00040263051939337,11,1.0,0.00040263051939337,0.0008853197068566188,0.00026259448247264056,0.00026259448247264056,-1.8381543394139657,,0.3333333333333333
moveis_quarto,2017-12,1,5624,0.00017780938833570413,12,1.0,0.00017780938833570413,0.0006710365455736939,0.00019662099119950924,0.00019662099119950924,-2.508517296291714,,0.0
moveis_quarto,2018-01,5,7220,0.0006925207756232687,1,1.0,0.0006925207756232687,0.0005407858877659359,0.0003112448440188465,0.0003112448440188465,0.4875097235286089,,0.2
moveis_quarto,2018-02,7,6694,0.0010457125784284435,2,1.0,0.0010457125784284435,0.0005371543564773152,0.000308732925817936,0.000308732925817936,1.64724323006297,,0.14285714285714285
moveis_quarto,2018-03,6,7188,0.0008347245409015025,3,1.0,0.0008347245409015025,0.0005796683154451966,0.0003753957517768537,0.0003753957517768537,0.6794329031403606,,0.16666666666666666
moveis_quarto,2018-04,7,6934,0.001009518315546582,4,1.0,0.001009518315546582,0.0006876918208222298,0.00036959477693535736,0.00036959477693535736,0.870754985751977,,0.2857142857142857
moveis_quarto,2018-05,5,6853,0.0007296074711805049,5,1.0,0.0007296074711805049,0.0008956190526249493,0.0001637662564564807,0.0001637662564564807,-1.0137105471941974,,0.0
moveis_quarto,2018-06,7,6160,0.0011363636363636363,6,1.0,0.0011363636363636363,0.0009048907265142582,0.00014880102997751128,0.00014880102997751128,1.5555867448253633,,0.14285714285714285
moveis_quarto,2018-07,7,6273,0.0011158935118762952,7,1.0,0.0011158935118762952,0.0009275534909980565,0.00018084961525026788,0.00018084961525026788,1.0414178687502615,,0.14285714285714285
moveis_quarto,2018-08,10,6452,0.0015499070055796653,8,1.0,0.0015499070055796653,0.0009978457337417547,0.00018727030547414672,0.00018727030547414672,2.9479381177926496,,0.1
moveis_sala,2017-01,8,789,0.010139416983523447,1,1.361260768353627,0.007448548594981207,,0.0,,,,0.0
moveis_sala,2017-02,15,1733,0.008655510675129832,2,1.1865278092833476,0.007294823271236841,,0.0,,,,0.26666666666666666
moveis_sala,2017-03,17,2641,0.006436955698599016,3,0.9373662706411046,0.006867065628675234,0.007371685933109023,0.00010870021885973822,0.00022115057799327069,-2.2817950964122944,,0.058823529411764705
moveis_sala,2017-04,11,2391,0.004600585529067336,4,0.8173417044306124,0.005628717468016952,0.007203479164964427,0.00030131116696702063,0.00030131116696702063,-5.226363539058072,,0.09090909090909091
moveis_sala,2017-05,29,3660,0.007923497267759563,5,1.0137808468134561,0.007815789075779955,0.006809788740727558,0.0008249207316075334,0.0008249207316075334,1.2195115197214061,,0.3103448275862069
moveis_sala,2017-06,12,3217,0.003730183400683867,6,0.820788427231334,0.004544634496451713,0.006901598860927245,0.0009330574777477169,0.0009330574777477169,-2.526065564754861,,0.0
moveis_sala,2017-07,27,3969,0.006802721088435374,7,1.5250765629828422,0.004460576769424728,0.006214051667230963,0.001428467684227693,0.001428467684227693,-1.2275215723583266,,0.1111111111111111
moveis_sala,2017-08,21,4293,0.004891684136967156,8,1.0809712960497602,0.00452526737281836,0.005612429452418337,0.0015622643396279786,0.0015622643396279786,-0.6958886867115346,,0.09523809523809523
moveis_sala,2017-09,11,4243,0.002592505302851756,9,0.5352555285249281,0.004843490939731633,0.005336566928618689,0.0016532054883709297,0.0016532054883709297,-0.2982545075947776,,0.0
moveis_sala,2017-10,13,4568,0.0028458844133099825,10,0.5875688524499783,0.004843490939731633,0.004593492394606609,0.00017049690494965817,0.00017049690494965817,1.4662937441523671,,0.07692307692307693
moveis_sala,2017-11,29,7451,0.003892095020802577,11,0.8035722724028114,0.004843490939731633,0.004668206505426589,0.00020411677109134687,0.00020411677109134687,0.8587458706497019,,0.20689655172413793
